fuel,share
Nuclear,41.80589769295586
Natural Gas,28.48820389246885
Coal,16.05368216336225
Hydro,13.063119892871605
Solar,0.4803048904021814
Wind,0.00150943518055298
Petroleum,0.00037612259914867664
Other,0.10690591015955375
