ym,Nuclear,Natural Gas,Coal,Hydro,Solar,Wind,Petroleum,Other
2019-01,41.0916388664985,24.251771295745165,17.94744650175745,16.226422653419128,0.4007310388300823,0.0,0.0,0.08198964374967391
2019-02,44.48179821254281,26.542099640574996,12.35778988305593,16.38795816736966,0.13582422974021857,0.0,5.8290086946326406e-05,0.094471576629439
2019-03,39.803076196808576,26.870761416712707,16.32137705721378,16.576689094848398,0.32618515384778607,0.0,0.0,0.10191108056876297
2019-04,45.13908927365367,21.51685383642219,17.405242242620904,15.43056130746791,0.4283717019545551,0.0,0.0,0.07988163788077898
2019-05,41.12992458612773,28.127726270449006,17.8614469597283,12.42445312758676,0.4205557583110209,0.0,0.0,0.035893297797182776
2019-06,43.33413408034426,29.177875470383718,16.445512695369587,10.568014929041976,0.37465254087173777,0.0,7.3530487688753675e-06,0.09980293093994537
2019-07,38.81948018367825,29.871682323244936,21.630076467467752,9.283029124026244,0.3074331553841449,0.0,0.0,0.08829874619867416
2019-08,37.58259108877062,32.45757001035132,20.76872600454852,8.761883649651725,0.3357831666954028,0.0,0.0,0.09344607998241729
2019-09,31.57132759921739,32.4949968582939,27.255619201109816,8.209486746892074,0.35996000970838404,0.0,0.0,0.10860958477843569
2019-10,40.06021463629478,29.19814967451795,22.014896847407115,8.338475590563782,0.28006059209754436,0.0,0.0,0.10820265911883326
2019-11,40.67074618980007,30.260867448778093,15.188454216049486,13.517636250881981,0.24528631624558037,0.0,0.0,0.11700957824479508
2019-12,48.32642759669076,24.205764508004677,9.130372615028021,18.08349502812047,0.15573967369218497,0.0,0.0,0.09820057846388489
2020-01,44.5520443056904,24.93497500511979,12.96918255765471,17.299617378697853,0.15122160359136574,0.0,0.0,0.09295914924588096
2020-02,42.561179321697566,30.450737963597906,10.164150733043217,16.53211139740665,0.19783509501627772,0.0,0.0,0.09398548923838121
2020-03,46.102734808546515,20.243248859542447,12.162329804105344,21.133302405179073,0.2669577360591084,0.0,0.0,0.09142638656751201
2020-04,52.561606748498825,19.553089265504646,3.8247263779702667,23.46814092342881,0.4941153634835393,0.0,0.0,0.0983213211139165
2020-05,40.47661594519234,30.784104400379153,8.815128408422785,19.35232090750142,0.4804963261043106,0.0,0.0,0.09133401239999292
2020-06,41.64896371271797,29.98139315672229,16.565323029247395,11.292609194046234,0.41487535792730124,0.0,0.0,0.09683554933880281
2020-07,34.685269903456714,34.39984953295721,20.912750226628187,9.561719956011421,0.3590673346413901,0.0,0.0,0.08134304630508088
2020-08,40.07274926933837,28.65489933061794,21.140851025252854,9.732126835746408,0.29063338449101317,0.0,0.0,0.10874015455342126
2020-09,44.76629184896702,24.86819839315172,17.976738373859696,11.960130768077516,0.3000034779583013,0.0,0.0,0.12863713798574794
2020-10,44.682950697393714,27.561395828706885,11.505154525984427,15.885642731688035,0.30260062101527885,0.0,0.0,0.062255595211658396
2020-11,45.661434438706024,30.08421590461999,5.507120209502752,18.330662920968255,0.2784349959320718,0.0,0.0,0.13813153027090444
2020-12,42.93152429525154,29.78270300856932,11.166040548259772,15.857413071544729,0.1666944804621279,0.0,0.0,0.0956245959125088
2021-01,42.72466841174884,31.5694617561747,12.522337849295976,12.932636486439804,0.15956173031081958,0.0,0.0,0.09133376602986544
2021-02,39.972206031572746,25.662398359070117,19.848337946670505,14.288891071027972,0.17025039465388506,0.0,0.0,0.0579161970047746
2021-03,44.106997268852446,20.28308463175502,17.30093157301434,17.841107461182627,0.3609007350501102,0.0,0.0,0.10697833014545856
2021-04,41.943582095746414,21.776116534810768,19.95599089504126,15.646653260038956,0.5625099805396393,0.0,0.0,0.11514723382295494
2021-05,46.70460333789439,23.321581121886744,19.352471460104073,9.950336086613465,0.5659455536356948,0.0,0.0,0.10506243986563193
2021-06,42.45537561953645,28.66749926342275,19.299500333012073,9.000883166466602,0.4919471790779963,0.0,0.0,0.08479443848412585
